,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
코스닥수익률표준편차(-11~-15),0.011159795935205183,0.007101066153830863,0.009410578,0.016718504071428573,0.007403944623824714,0.014606184000000001,0.005558708136223391,49.810123487004326,-0.778405237412872,6.834349164695242e-08
아연(-11~-15),0.010840144971922247,0.006142435290326789,0.009871988,0.015639415785714286,0.0072359972782245026,0.0149241715,0.0047992708137920385,44.27312389477204,-0.7623596700478761,1.0258754208662957e-06
오렌지주스(-16~-20),0.013276753246220302,0.0075584505286516645,0.012154207,0.019313027414285713,0.010557143739778792,0.018101977999999998,0.006036274168065412,45.46498723084916,-0.7534219727115289,1.5120670398100647e-05
미국_대두박(-16~-20),0.008689701885529156,0.005108590976665588,0.007458328,0.012828367585714288,0.008192385151683322,0.010716562499999999,0.004138665700185132,47.62724607477267,-0.7382515261369333,9.849151480794515e-05
구리_미국(-1~-5),0.009075862593952483,0.0048007271413259694,0.008194944,0.012727264428571429,0.006190698436932328,0.012599922999999999,0.0036514018346189454,40.23200876853274,-0.7298101189975732,9.418276188862606e-06
오렌지주스(-6~-10),0.015066626699784017,0.007985914795382104,0.013875803,0.02120716408571428,0.010967353533476686,0.0201805385,0.006140537385930263,40.75588722204346,-0.7281445082021759,2.205392457421991e-05
가솔린(-1~-5),0.015824767684665227,0.010774389655475053,0.012452973,0.02383567732857143,0.013938848967489077,0.021005864,0.008010909643906203,50.6226050425313,-0.7129627892296864,1.4933859789681856e-05
귀리(-11~-15),0.014840863319654427,0.01018724764845921,0.012629288,0.024036022471428567,0.024638121921247834,0.018757101499999998,0.00919515915177414,61.95838445325869,-0.7069540094958319,0.002897368324130924
니켈(-16~-20),0.01322904648812095,0.0074364020044297785,0.012109106,0.026387304271428567,0.04816905522004812,0.0191280585,0.013158257783307618,99.46489941752871,-0.7037239826178748,0.02559353167112452
천연가스(-1~-5),0.02382320742116631,0.015801069363050497,0.019915769,0.035043616385714293,0.018993290475921756,0.030012396,0.011220408964547984,47.09864950669463,-0.6904288125641648,9.960473241184316e-06
구리_미국(-16~-20),0.009537116542116631,0.005334385773525901,0.008409816,0.01331518542857143,0.007415855434597635,0.011639047,0.003778068886454799,39.61437264366604,-0.6688757377136002,9.670500408288635e-05
미국_대두박(-1~-5),0.009259370233261338,0.004783551555533291,0.008545628,0.01255454222857143,0.005811907585430263,0.011653722500000002,0.003295171995310091,35.587431027147346,-0.6684837903816845,2.0321337676493386e-05
납(-11~-15),0.01036576754211663,0.005225983840577705,0.009406099,0.014262121885714286,0.009350714161051096,0.012456139,0.003896354343597655,37.58867182547335,-0.6574428182148312,0.0010557273534996677
