"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 06- 29","312.56","312.86","313.79","312.26","103.11M","0.55%"
"2017- 06- 30","311.76","310.61","311.76","310.17","73.22M","-0.26%"
"2017- 07- 03","312.39","312.50","312.93","310.85","71.75M","0.20%"
"2017- 07- 04","310.46","312.42","312.82","309.78","89.18M","-0.62%"
"2017- 07- 05","311.77","309.87","312.10","309.64","68.31M","0.42%"
"2017- 07- 06","311.88","312.17","312.50","310.76","73.59M","0.04%"
"2017- 07- 07","310.66","310.17","311.45","309.62","87.67M","-0.39%"
"2017- 07- 10","311.46","311.65","312.41","310.72","78.67M","0.26%"
"2017- 07- 11","313.59","312.04","313.70","311.50","85.93M","0.68%"
"2017- 07- 12","313.58","313.50","314.30","313.21","89.12M","0.00%"
"2017- 07- 13","316.35","315.46","318.40","315.03","94.92M","0.88%"
"2017- 07- 14","317.35","317.70","318.29","316.81","103.19M","0.32%"
"2017- 07- 17","318.52","319.22","319.45","317.86","74.54M","0.37%"
"2017- 07- 18","318.65","318.38","318.66","317.59","80.89M","0.04%"
"2017- 07- 19","318.91","319.15","319.15","317.52","77.08M","0.08%"
"2017- 07- 20","320.61","319.68","320.99","318.67","81.10M","0.53%"
"2017- 07- 21","321.79","320.17","322.01","320.00","81.10M","0.37%"
"2017- 07- 24","322.01","321.74","322.01","320.82","71.71M","0.07%"
"2017- 07- 25","320.15","321.70","322.16","319.72","82.69M","-0.58%"
"2017- 07- 26","319.46","320.86","320.90","318.68","96.65M","-0.22%"
"2017- 07- 27","320.51","320.63","321.46","319.51","75.49M","0.33%"
"2017- 07- 28","314.13","319.01","319.18","313.72","100.38M","-1.99%"
"2017- 07- 31","314.60","312.73","314.81","312.20","82.98M","0.15%"
"2017- 08- 01","317.04","313.58","318.58","313.19","81.84M","0.78%"
"2017- 08- 02","317.69","318.58","318.86","317.17","94.04M","0.21%"
"2017- 08- 03","312.29","316.95","317.02","310.22","112.32M","-1.70%"
"2017- 08- 04","313.46","312.80","314.14","311.89","79.35M","0.37%"
"2017- 08- 07","313.96","314.34","315.75","313.24","68.36M","0.16%"
"2017- 08- 08","313.40","314.94","315.66","311.99","71.59M","-0.18%"
"2017- 08- 09","309.52","311.20","312.34","309.18","73.81M","-1.24%"
"2017- 08- 10","308.37","308.30","309.78","305.73","105.19M","-0.37%"
"2017- 08- 11","302.72","303.37","304.96","301.32","96.75M","-1.83%"
"2017- 08- 14","304.93","304.99","305.84","303.75","68.09M","0.73%"
"2017- 08- 16","307.16","308.27","308.66","306.59","89.40M","0.73%"
"2017- 08- 17","309.02","307.85","309.58","307.16","99.26M","0.61%"
"2017- 08- 18","308.39","305.91","309.08","305.90","77.62M","-0.20%"
"2017- 08- 21","308.14","309.09","309.09","307.56","62.87M","-0.08%"
"2017- 08- 22","309.34","308.66","309.93","308.50","63.19M","0.39%"
"2017- 08- 23","309.71","311.02","311.52","308.85","62.66M","0.12%"
"2017- 08- 24","310.73","310.14","311.73","309.72","72.20M","0.33%"
"2017- 08- 25","311.21","311.56","312.16","310.24","73.86M","0.15%"
"2017- 08- 28","309.53","310.69","311.79","308.89","63.87M","-0.54%"
"2017- 08- 29","308.64","307.46","308.64","304.24","65.55M","-0.29%"
"2017- 08- 30","309.65","309.08","309.65","308.45","59.53M","0.33%"
"2017- 08- 31","308.28","309.77","310.33","307.14","99.27M","-0.44%"
"2017- 09- 01","307.78","308.85","309.43","306.82","75.66M","-0.16%"
"2017- 09- 04","304.19","302.52","306.38","302.45","67.73M","-1.17%"
"2017- 09- 05","304.06","305.64","305.66","303.06","75.19M","-0.04%"
"2017- 09- 06","303.18","303.62","303.85","302.41","91.54M","-0.29%"
"2017- 09- 07","306.97","304.40","307.56","304.36","80.37M","1.25%"
"2017- 09- 08","307.43","307.68","308.10","306.63","69.04M","0.15%"
"2017- 09- 11","309.83","309.06","311.26","308.95","81.06M","0.78%"
"2017- 09- 12","310.42","311.70","311.78","309.53","70.41M","0.19%"
"2017- 09- 13","310.00","311.16","312.24","309.76","86.74M","-0.14%"
"2017- 09- 14","312.52","310.82","312.52","309.75","132.26M","0.81%"
"2017- 09- 15","313.69","311.19","313.69","310.82","92.79M","0.37%"
"2017- 09- 18","318.93","314.31","318.93","314.17","77.35M","1.67%"
"2017- 09- 19","318.51","319.04","319.45","318.03","89.27M","-0.13%"
"2017- 09- 20","318.48","319.10","320.40","317.19","93.16M","-0.01%"
"2017- 09- 21","318.25","318.38","319.23","317.40","92.12M","-0.07%"
"2017- 09- 22","316.71","318.06","319.15","315.47","91.11M","-0.48%"
"2017- 09- 25","316.40","316.81","317.35","315.30","78.66M","-0.10%"
"2017- 09- 26","314.29","314.96","315.68","313.68","85.81M","-0.67%"
"2017- 09- 27","313.82","314.73","314.73","313.32","66.67M","-0.15%"
"2017- 09- 28","313.85","314.32","315.17","312.88","70.54M","0.01%"
"2017- 09- 29","316.27","314.60","316.45","314.60","63.21M","0.77%"
"2017- 10- 10","322.49","321.29","324.00","320.57","99.58M","1.97%"
"2017- 10- 11","326.12","323.97","326.20","323.43","86.13M","1.13%"
"2017- 10- 12","328.11","326.58","328.11","325.96","98.83M","0.61%"
"2017- 10- 13","327.35","327.70","328.44","326.65","100.70M","-0.23%"
"2017- 10- 16","327.82","328.57","329.42","326.99","85.19M","0.14%"
"2017- 10- 17","328.51","328.69","329.21","327.84","76.86M","0.21%"
"2017- 10- 18","328.40","328.06","329.43","327.13","75.59M","-0.03%"
"2017- 10- 19","326.47","328.67","329.34","326.04","90.04M","-0.59%"
"2017- 10- 20","328.89","327.08","328.89","327.02","99.62M","0.74%"
"2017- 10- 23","329.45","330.24","330.55","328.50","75.01M","0.17%"
"2017- 10- 24","328.96","329.34","330.12","328.91","70.81M","-0.15%"
"2017- 10- 25","329.31","329.75","330.05","327.84","83.84M","0.11%"
"2017- 10- 26","326.99","328.63","329.65","326.99","99.45M","-0.70%"
"2017- 10- 27","329.23","327.50","329.75","326.62","90.50M","0.69%"
"2017- 10- 30","330.38","331.72","331.72","329.62","90.39M","0.35%"
"2017- 10- 31","333.57","330.05","334.40","329.66","97.63M","0.97%"
"2017- 11- 01","338.76","335.67","338.76","335.60","93.84M","1.56%"
"2017- 11- 02","337.53","339.33","339.59","336.83","86.22M","-0.36%"
"2017- 11- 03","338.83","339.08","339.12","336.16","75.76M","0.39%"
"2017- 11- 06","337.40","338.66","339.01","334.53","77.98M","-0.42%"
"2017- 11- 07","336.76","337.23","338.35","336.00","114.25M","-0.19%"
"2017- 11- 08","337.80","335.20","338.90","335.02","114.01M","0.31%"
"2017- 11- 09","337.14","338.55","338.59","334.99","108.97M","-0.20%"
"2017- 11- 10","335.96","335.64","336.69","334.63","86.25M","-0.35%"
"2017- 11- 13","334.33","336.63","337.34","333.73","91.51M","-0.49%"
"2017- 11- 14","333.62","334.63","334.73","333.13","94.19M","-0.21%"
"2017- 11- 15","332.17","333.39","333.60","331.36","112.56M","-0.43%"
"2017- 11- 16","334.36","332.75","334.92","331.84","82.13M","0.66%"
