,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code
256,액트로,0.045547195,0.021814743,0.041271576,0.016367743,290740
257,앤디포스,0.039931404,0.039808944,0.069157704,0.043219463,238090
258,앱코,0.087647778,0.042508858,0.029603091,0.03797798,129890
259,앱클론,0.718398742,0.05696721,0.148675267,0.050311013,174900
260,야스,0.0970811,0.055598939,0.042964113,0.020851067,255440
261,에스디바이오센서,0.090133595,0.0295363,0.023507084,0.041618469,137310
262,에스디생명공학,0.034830059,0.041626878,0.038290834,0.012155164,217480
263,에스바이오메딕스,0.037175368,0.028198316,0.016488632,0.048182497,304360
264,에스비비테크,0.680395821,0.047430085,0.020299828,0.030463306,389500
265,에스씨엠생명과학,0.520891177,0.031703833,0.04403527,0.0509297259999999,298060
266,에스에스알,0.714269727,0.047190709,0.030907491,0.0258184619999999,275630
267,에스엔텍,0.491821326,0.0514822009999999,0.035100256,0.029448548,160600
268,에스엔피월드,0.04335357,0.041132384,0.039491455,0.026337673,263920
269,에스와이패널,0.136632456,0.074883576,0.101740036,0.050847714,109610
270,에스제이그룹,0.099725739,0.050136145,0.041252236,0.0519165479999999,306040
271,에스케이디앤디,0.72226974,0.047100053,0.04629905,0.041335735,210980
272,에스케이바이오팜,0.660142088,0.024717848,0.027060081,0.01419197,326030
273,에스트래픽,0.239412802,0.034407267,0.030240453,0.014548539,234300
274,에스티팜,0.319013421,0.036211835,0.039853946,0.01619114,237690
275,에스퓨얼셀,0.492602708,0.037059641,0.069793173,0.038562832,288620
276,에스피시스템스,0.760569736,0.07461329,0.072863825,0.083038774,317830
277,에어부산,0.207416026,0.023288345,0.032685425,0.01848851,298690
278,에이디엠코리아,0.744374655,0.037887927,0.020226913,0.037502493,187660
279,에이비엘바이오,0.159945094,0.090529509,0.022007385,0.050965449,298380
280,에이스토리,0.125623803,0.046609784,0.082870079,0.056692213,241840
281,에이에프더블류,0.033766729,0.058642067,0.037007391,0.029252128,312610
282,에이치시티,0.149860392,0.067956258,0.042657614,0.111957751,72990
283,에이치엔티,0.053748237,0.037836319,0.036522007,0.046217616,176440
284,에이치엘사이언스,0.240206853,0.179451428,0.104130433,0.028956295,239610
285,에이치와이티씨,0.107119153,0.027864314,0.045308553,0.015106058,148930
286,에이치피오,0.120757617,0.03355871,0.037142321,0.0085943,357230
