회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
노머스,473980,2024-11-12,신규상장,주권,창작 및 예술관련 서비스업,대한민국,대신증권(주),500,"30,200","34,126,000","공연기획 및 MD, Fromm 플랫폼","10,709,617"
에어레인,163280,2024-11-08,신규상장,주권,일반 목적용 기계 제조업,대한민국,신영증권(주),100,"23,000","27,600,000",기체분리막 모듈 및 시스템,"8,174,789"
토모큐브,475960,2024-11-07,신규상장,주권,사진장비 및 광학기기 제조업,대한민국,대신증권(주),500,"16,000","32,000,000","홀로토모그래피 HT-X1, HT-2H","12,731,194"
에이치이엠파마,376270,2024-11-05,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,신한투자증권 주식회사,500,"23,000","16,031,000","맞춤형 헬스케어, LBP 디스커버리 플랫폼","6,962,039"
탑런토탈솔루션,336680,2024-11-01,신규상장,주권,전자부품 제조업,대한민국,KB증권(주),500,"18,000","45,000,000",전장디스플레이 및 pOLED 부품,"19,572,779"
에이럭스,475580,2024-11-01,신규상장,주권,그외 기타 제품 제조업,대한민국,한국투자증권(주),200,"16,000","24,000,000",교육용 드론/로봇 및 코딩 콘텐츠,"13,237,930"
성우,458650,2024-10-31,신규상장,주권,일차전지 및 이차전지 제조업,대한민국,한국투자증권(주),500,"32,000","96,000,000","이차전지 부품(2170 Topcap Ass'y, S4623 등), 자동차 전장부품(Motor Housing, EV Relay 등)","15,045,670"
유진스팩11호,488060,2024-10-31,신규상장,주권,금융 지원 서비스업,대한민국,유진투자증권(주),100,"2,000","9,000,000",기업인수합병,"4,720,000"
클로봇,466100,2024-10-28,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,미래에셋증권 주식회사,500,"13,000","39,000,000","로봇 소프트웨어(카멜레온, 크롬스)","23,942,906"
웨이비스,289930,2024-10-25,신규상장,주권,반도체 제조업,대한민국,대신증권(주),500,"15,000","22,350,000","GaN RF 칩, 패키지 트랜지스터, 모듈 등","12,420,111"
씨메스,475400,2024-10-24,신규상장,주권,특수 목적용 기계 제조업,대한민국,"유진투자증권(주),삼성증권(주)",500,"30,000","78,000,000",AI 기반 로봇 솔루션 및 3D 비전 솔루션,"11,437,710"
한켐,457370,2024-10-22,신규상장,주권,기초 화학물질 제조업,대한민국,신영증권(주),500,"18,000","28,800,000",OLED 발광층 소재 등,"8,027,134"
루미르,474170,2024-10-21,신규상장,주권,"항공기,우주선 및 부품 제조업",대한민국,엔에이치투자증권주식회사,500,"12,000","28,800,000","인공위성 시스템 및 전장품, 위성 영상 및 정보","17,154,696"
와이제이링크,209640,2024-10-18,신규상장,주권,특수 목적용 기계 제조업,대한민국,KB증권(주),500,"12,000","42,720,000",SMT(PCB 표면실장) 이송 및 추적장비 등 스마트 공정장비,"14,221,573"
인스피언,465480,2024-10-18,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),100,"12,000","27,000,000","SAP 보안 솔루션, SAP PO/CPI 컨설팅, EDI SaaS 플랫폼","10,137,772"
셀비온,308430,2024-10-16,신규상장,주권,의약품 제조업,대한민국,대신증권(주),500,"15,000","28,665,000","셀비온그린주, 셀비온메브로페닌주, 도페정 등","12,739,009"
제닉스,381620,2024-09-30,신규상장,주권,특수 목적용 기계 제조업,대한민국,신영증권(주),100,"40,000","26,400,000","Stocker, AGV/AMR","4,372,640"
KB제30호스팩,486630,2024-09-25,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","10,000,000",기업인수합병,"5,310,000"
아이언디바이스,464500,2024-09-23,신규상장,주권,반도체 제조업,대한민국,대신증권(주),500,"7,000","21,000,000",스마트폰용 오디오 앰프 반도체 Soc,"13,653,263"
미래에셋비전스팩7호,482680,2024-09-11,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","15,900,000",기업인수합병,"8,215,000"
아이스크림미디어,461300,2024-08-30,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,삼성증권(주),500,"32,000","78,700,000","교육출판, 커머스, 연수","13,063,433"
이엔셀,456070,2024-08-23,신규상장,주권,기초 의약물질 제조업,대한민국,엔에이치투자증권주식회사,500,"15,300","23,972,040","첨단바이오의약품 위탁개발생산(CDMO) 서비스 / 차세대 세포,유전자 치료제","9,349,954"
M83,476080,2024-08-22,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,신영증권(주),100,"16,000","24,000,000",VFX,"7,785,000"
대신밸런스제18호스팩,478780,2024-08-22,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","13,000",금융 지원 서비스업,"7,910,000"
티디에스팜,464280,2024-08-21,신규상장,주권,의약품 제조업,대한민국,한국투자증권(주),100,"13,000","13,000,000","경피약물전달시스템(습포제, 첩부제)","5,530,000"
넥스트바이오메디컬,389650,2024-08-20,신규상장,주권,의료용 기기 제조업,대한민국,한국투자증권(주),500,"29,000","29,000,000","내시경용 지혈재, 혈관색전 미립구","8,008,066"
케이쓰리아이,431190,2024-08-20,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,하나증권주식회사,500,"15,500","21,700,000",XR 실감형콘텐츠,"7,486,442"
유라클,088340,2024-08-16,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,키움증권(주),500,"21,000","15,771,000",모바일 앱 개발 플랫폼,"4,330,068"
교보16호스팩,482520,2024-08-13,신규상장,주권,금융 지원 서비스업,대한민국,교보증권(주),100,"2,000","11,600,000",기업인수합병,"6,100,000"
뱅크웨어글로벌,199480,2024-08-12,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,미래에셋증권 주식회사,500,"16,000","22,400,000",국내외 은행 및 금융기업 대상 코어뱅킹 소프트웨어,"10,000,988"
아이빔테크놀로지,460470,2024-08-06,신규상장,주권,사진장비 및 광학기기 제조업,대한민국,삼성증권(주),500,"10,000","22,340,000","생체현미경, CRO 서비스","14,965,620"
피앤에스미캐닉스,460940,2024-07-31,신규상장,주권,의료용 기기 제조업,대한민국,키움증권(주),500,"22,000","29,700,000",보행재활로봇 시스템,"6,471,740"
엔에이치스팩31호,481890,2024-07-26,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","12,000,000",금융지원서비스업,"6,345,000"
SK증권제13호스팩,473950,2024-07-25,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","8,000,000",기업인수목적 주식회사,"4,420,000"
엑셀세라퓨틱스,373110,2024-07-15,신규상장,주권,기초 의약물질 제조업,대한민국,대신증권(주),500,"10,000","16,180,000",CellCor SFD/CD(세포배양배지),"10,830,212"
이베스트스팩6호,478110,2024-07-12,신규상장,주권,금융 지원 서비스업,대한민국,엘에스증권 주식회사,100,"2,000","8,000,000",기업인수목적 주식회사,"5,020,000"
하스,450330,2024-07-03,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,삼성증권(주),500,"16,000","28,960,000","리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관","7,836,009"
이노스페이스,462350,2024-07-02,신규상장,주권,"항공기,우주선 및 부품 제조업",대한민국,미래에셋증권 주식회사,"1,000","43,300","57,589,000","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역","9,375,694"
에이치브이엠,295310,2024-06-28,신규상장,주권,1차 비철금속 제조업,대한민국,엔에이치투자증권주식회사,500,"18,000","43,200,000","Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등","11,901,931"
하이젠알앤엠,160190,2024-06-27,신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대한민국,한국투자증권(주),500,"7,000","23,800,000","전동기 및 발전기 (범용모터, 서보모터)","30,888,000"
한국제15호스팩,479880,2024-06-26,신규상장,주권,금융 지원 서비스업,대한민국,한국투자증권(주),100,"2,000","12,500,000",기업인수합병,"6,870,000"
에스오에스랩,464080,2024-06-25,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,한국투자증권(주),100,"11,500","23,000,000",산업용 및 차량용 라이다(LiDAR),"17,529,140"
에이치엠씨제7호스팩,477340,2024-06-24,신규상장,주권,금융 지원 서비스업,대한민국,현대차증권주식회사,100,"2,000","14,000,000",기타금융,"7,510,000"
미래에셋비전스팩6호,478440,2024-06-24,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","12,900,000",기업인수합병,"6,930,000"
KB제29호스팩,478390,2024-06-21,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","12,000,000",기업인수합병,"6,220,000"
씨어스테크놀로지,458870,2024-06-19,신규상장,주권,의료용 기기 제조업,대한민국,한국투자증권(주),500,"17,000","22,100,000",심전도검사솔루션 입원환자모니터링솔루션,"12,293,880"
