函券,盔磊丰,老喊 荐劳伏,扁埃备埃,荐劳伏_钎霖祈瞒
2019-01-29,2183.36,0.002783263675194103,16~20老,0.005920096558377318
2019-02-01,2203.46,-0.0006304283738122196,1~5老,0.006286608344204752
2019-02-07,2203.42,-1.815326804210926e-05,1~5老,0.006286608344204752
2019-02-08,2177.05,-0.011967759210681495,1~5老,0.006286608344204752
2019-02-11,2180.73,0.0016903608093519207,1~5老,0.006286608344204752
2019-02-12,2190.47,0.004466394280814079,1~5老,0.006286608344204752
2019-02-13,2201.48,0.005026318552639575,6~10老,0.00958647073538805
2019-02-14,2225.85,0.01106982575358395,6~10老,0.00958647073538805
2019-02-15,2196.09,-0.013370173192263524,6~10老,0.00958647073538805
2019-02-18,2210.89,0.006739250212878245,6~10老,0.00958647073538805
2019-02-19,2205.63,-0.00237913238560028,6~10老,0.00958647073538805
2019-02-20,2229.76,0.010940184890484872,11~15老,0.0052545608801908275
2019-02-21,2228.66,-0.0004933266360507282,11~15老,0.0052545608801908275
2019-02-22,2230.5,0.0008256082130069231,11~15老,0.0052545608801908275
2019-02-25,2232.56,0.0009235597399686046,11~15老,0.0052545608801908275
2019-02-26,2226.6,-0.0026695811086824284,11~15老,0.0052545608801908275
2019-02-27,2234.79,0.0036782538399353637,16~20老,0.015051596748660008
2019-02-28,2195.44,-0.0176079184173904,16~20老,0.015051596748660008
2019-03-04,2190.66,-0.002177240097657074,1~5老,0.004589921545212376
2019-03-05,2179.23,-0.005217605653090818,1~5老,0.004589921545212376
2019-03-06,2175.6,-0.001665725967428866,1~5老,0.004589921545212376
2019-03-07,2165.79,-0.004509100937672317,1~5老,0.004589921545212376
2019-03-08,2137.44,-0.013089911764298412,1~5老,0.004589921545212376
2019-03-11,2138.1,0.0003087805973500668,6~10老,0.005755951748341644
2019-03-12,2157.18,0.008923810860109516,6~10老,0.005755951748341644
2019-03-13,2148.41,-0.004065492912042612,6~10老,0.005755951748341644
2019-03-14,2155.68,0.003383897859347229,6~10老,0.005755951748341644
2019-03-15,2176.11,0.00947728790915181,6~10老,0.005755951748341644
2019-03-18,2179.49,0.0015532303054530683,11~15老,0.0017261743069891828
2019-03-19,2177.62,-0.000857998889648437,11~15老,0.0017261743069891828
2019-03-20,2177.1,-0.00023879281049954404,11~15老,0.0017261743069891828
2019-03-21,2184.88,0.003573561159340599,11~15老,0.0017261743069891828
2019-03-22,2186.95,0.0009474204532970987,11~15老,0.0017261743069891828
